base_source,feature,runs,rows,coefficient_mean,coefficient_std,coefficient_ci95,coefficient_n
epoch_2,epoch_0,1,1,0.29227104783058167,0.0,0.0,1
epoch_2,epoch_1,1,1,0.22455382347106934,0.0,0.0,1
epoch_2,epoch_2,1,1,0.18881577253341675,0.0,0.0,1
epoch_2,group_head,1,1,0.1170962005853653,0.0,0.0,1
epoch_2,group_stage1,1,1,0.2644633948802948,0.0,0.0,1
epoch_2,group_stage2,1,1,0.1466064602136612,0.0,0.0,1
epoch_2,group_stage3,1,1,0.07850246131420135,0.0,0.0,1
epoch_2,group_stem,1,1,-0.02042914181947708,0.0,0.0,1
epoch_2,traj_initial_rms_movement,1,1,-0.13292573392391205,0.0,0.0,1
epoch_2,traj_max_abs,1,1,0.08416928350925446,0.0,0.0,1
epoch_2,traj_mean_abs,1,1,0.011806577444076538,0.0,0.0,1
epoch_2,traj_path_length,1,1,0.007100770249962807,0.0,0.0,1
epoch_2,traj_post_rewind_path_length,1,1,0.07344403862953186,0.0,0.0,1
epoch_2,traj_rewind_rms_movement,1,1,0.08523783087730408,0.0,0.0,1
epoch_2,traj_rms_abs,1,1,0.043503955006599426,0.0,0.0,1
traj_rms_abs,epoch_0,1,1,0.19667977094650269,0.0,0.0,1
traj_rms_abs,epoch_1,1,1,-0.10341233760118484,0.0,0.0,1
traj_rms_abs,epoch_2,1,1,0.34893468022346497,0.0,0.0,1
traj_rms_abs,group_head,1,1,-0.07911457121372223,0.0,0.0,1
traj_rms_abs,group_stage1,1,1,-0.020950745791196823,0.0,0.0,1
traj_rms_abs,group_stage2,1,1,-0.058338016271591187,0.0,0.0,1
traj_rms_abs,group_stage3,1,1,-0.23608791828155518,0.0,0.0,1
traj_rms_abs,group_stem,1,1,-0.16021326184272766,0.0,0.0,1
traj_rms_abs,traj_initial_rms_movement,1,1,0.10374455153942108,0.0,0.0,1
traj_rms_abs,traj_max_abs,1,1,0.062223881483078,0.0,0.0,1
traj_rms_abs,traj_mean_abs,1,1,0.3344425559043884,0.0,0.0,1
traj_rms_abs,traj_path_length,1,1,-0.052044086158275604,0.0,0.0,1
traj_rms_abs,traj_post_rewind_path_length,1,1,0.20160506665706635,0.0,0.0,1
traj_rms_abs,traj_rewind_rms_movement,1,1,0.09016609936952591,0.0,0.0,1
traj_rms_abs,traj_rms_abs,1,1,0.23761363327503204,0.0,0.0,1
